sections: {'OS': 1, '0x0a01': 43, 'REGS': 9, 'INDEXED_REGS': 4, '0x0901': 2, '0x1201': 135, 'GMU_MEM': 38, 'MEMLIST_V2': 11, 'RB_V2': 2, 'MVC_V2': 2, 'IB_V2': 2, 'SIDEBAND2': 1}
total regs: 1625
  0x00231 = 0x00000000  
  0x00232 = 0x00000000  
  0x00233 = 0x00000000  
  0x00234 = 0x00000000  
  0x00235 = 0x00000000  
  0x00236 = 0x00000000  
  0x00237 = 0x00000000  
  0x00238 = 0x00000000  
  0x00239 = 0x00000000  
  0x0023a = 0x00000000  
  0x0023b = 0x00000000  
  0x0023c = 0x00000000  
  0x0023d = 0x00000000  
  0x00400 = 0x7d3e1e42  
  0x00401 = 0x00000000  
  0x00402 = 0x7d3e1e48  
  0x00403 = 0x00000000  
  0x00404 = 0x7d3e1e4e  
  0x00405 = 0x00000000  
  0x00406 = 0x7d3e1e54  
  0x00407 = 0x00000000  
  0x00408 = 0x7d3e1e5a  
  0x00409 = 0x00000000  
  0x0040a = 0x7d3e1e60  
  0x0040b = 0x00000000  
  0x0040c = 0x7d3e1e66  
  0x0040d = 0x00000000  
  0x0040e = 0x7d3e1e6c  
  0x0040f = 0x00000000  
  0x00410 = 0x7d3e1e72  
  0x00411 = 0x00000000  
  0x00412 = 0x7d3e1e78  
  0x00413 = 0x00000000  
  0x00414 = 0x7d3e1e7e  
  0x00415 = 0x00000000  
  0x00416 = 0x7d3e1e84  
  0x00417 = 0x00000000  
  0x00418 = 0x7d3e1e8a  
  0x00419 = 0x00000000  
  0x0041a = 0x7d3e1e90  
  0x0041b = 0x00000000  
  0x0041c = 0x7d3e1e96  
  0x0041d = 0x00000000  
  0x0041e = 0x7d3e1e9c  
  0x0041f = 0x00000000  
  0x00420 = 0x7d3e1ea2  
  0x00421 = 0x00000000  
  0x00422 = 0x7d3e1ea8  
  0x00423 = 0x00000000  
  0x00424 = 0x7d3d8481  
  0x00425 = 0x00000000  
  0x00426 = 0x7d3d8487  
  0x00427 = 0x00000000  
  0x00428 = 0x7d3d848d  
  0x00429 = 0x00000000  
  0x0042a = 0x7d3d8493  
  0x0042b = 0x00000000  
  0x0042c = 0x7d3d8499  
  0x0042d = 0x00000000  
  0x0042e = 0x7d3d849f  
  0x0042f = 0x00000000  
  0x00430 = 0x7d3d84a5  
  0x00431 = 0x00000000  
  0x00432 = 0x7d3d84ab  
  0x00433 = 0x00000000  
  0x00434 = 0x0000009b  
  0x00435 = 0x00000000  
  0x00436 = 0x0000009b  
  0x00437 = 0x00000000  
  0x00438 = 0x0000009b  
  0x00439 = 0x00000000  
  0x0043a = 0x0000009b  
  0x0043b = 0x00000000  
  0x0043c = 0x0000009b  
  0x0043d = 0x00000000  
  0x0043e = 0x0000009b  
  0x0043f = 0x00000000  
  0x00440 = 0x0000009b  
  0x00441 = 0x00000000  
  0x00442 = 0x0000009b  
